category,image_name,count
Living_Things,processed/face/male_54_15.png,15
Living_Things,processed/face/male_73_15.png,15
Nonliving_Things,processed/house/House17_15.png,15
Nonliving_Things,processed/house/House49_15.png,15
Living_Things,processed/face/male_94_15.png,15
Living_Things,processed/face/male_3_15.png,15
Living_Things,processed/face/female_47_15.png,15
Living_Things,processed/face/male_75_15.png,15
Nonliving_Things,processed/house/House3_15.png,15
Nonliving_Things,processed/house/House25_15.png,15
Nonliving_Things,processed/house/House55_15.png,15
Living_Things,processed/face/female_71_15.png,15
Nonliving_Things,processed/house/House53_15.png,15
Living_Things,processed/face/female_95_15.png,15
Living_Things,processed/face/male_42_15.png,15
Living_Things,processed/face/female_20_15.png,15
Nonliving_Things,processed/house/House70_15.png,15
Living_Things,processed/face/female_16_15.png,15
Living_Things,processed/face/female_61_15.png,15
Living_Things,processed/face/male_98_15.png,15
Living_Things,processed/face/female_5_15.png,15
Nonliving_Things,processed/house/House79_15.png,15
Living_Things,processed/face/female_54_15.png,15
Living_Things,processed/face/female_34_15.png,15
Living_Things,processed/face/male_26_15.png,15
Living_Things,processed/face/female_87_15.png,15
Living_Things,processed/face/male_88_15.png,15
Living_Things,processed/face/female_100_15.png,15
Nonliving_Things,processed/house/House27_15.png,15
Living_Things,processed/face/male_35_15.png,15
Nonliving_Things,processed/house/House62_15.png,15
Nonliving_Things,processed/house/House7_15.png,15
Nonliving_Things,processed/house/House78_15.png,15
Living_Things,processed/face/male_27_15.png,15
Living_Things,processed/face/female_89_15.png,15
Living_Things,processed/face/male_70_15.png,15
Living_Things,processed/face/female_80_15.png,15
Living_Things,processed/face/male_33_15.png,15
Nonliving_Things,processed/house/House4_15.png,15
Living_Things,processed/face/female_50_15.png,15
Living_Things,processed/face/male_61_15.png,15
Living_Things,processed/face/male_58_15.png,15
Nonliving_Things,processed/house/House52_15.png,15
Living_Things,processed/face/male_82_15.png,15
Living_Things,processed/face/female_73_15.png,15
Living_Things,processed/face/male_66_15.png,15
Nonliving_Things,processed/house/House64_15.png,15
Living_Things,processed/face/female_31_15.png,15
Living_Things,processed/face/male_72_15.png,15
Nonliving_Things,processed/house/House8_15.png,15
Nonliving_Things,processed/house/House54_15.png,15
Nonliving_Things,processed/house/House13_15.png,15
Living_Things,processed/face/female_1_15.png,15
Living_Things,processed/face/male_56_15.png,15
Nonliving_Things,processed/house/House63_15.png,15
Living_Things,processed/face/male_1_15.png,15
Nonliving_Things,processed/house/House94_15.png,15
Nonliving_Things,processed/house/House68_15.png,15
Nonliving_Things,processed/house/House12_15.png,15
Nonliving_Things,processed/house/House81_15.png,15
Nonliving_Things,processed/house/House1_15.png,15
Nonliving_Things,processed/house/House89_15.png,15
Living_Things,processed/face/male_5_15.png,15
Nonliving_Things,processed/house/House23_15.png,15
Nonliving_Things,processed/house/House45_15.png,15
Nonliving_Things,processed/house/House36_15.png,15
Nonliving_Things,processed/house/House28_15.png,15
Nonliving_Things,processed/house/House34_15.png,15
Living_Things,processed/face/male_37_15.png,15
Living_Things,processed/face/female_68_15.png,15
Living_Things,processed/face/male_81_15.png,15
Nonliving_Things,processed/house/House87_15.png,15
Living_Things,processed/face/male_95_15.png,15
Living_Things,processed/face/female_60_15.png,15
Nonliving_Things,processed/house/House93_15.png,15
Living_Things,processed/face/female_51_15.png,15
Living_Things,processed/face/female_86_15.png,15
Living_Things,processed/face/female_24_15.png,15
Nonliving_Things,processed/house/House69_15.png,15
Living_Things,processed/face/male_69_15.png,15
Nonliving_Things,processed/house/House40_15.png,15
Living_Things,processed/face/male_62_15.png,15
Living_Things,processed/face/female_29_15.png,15
Nonliving_Things,processed/house/House19_15.png,15
Nonliving_Things,processed/house/House91_15.png,15
Living_Things,processed/face/male_89_15.png,15
Nonliving_Things,processed/house/House10_15.png,15
Nonliving_Things,processed/house/House44_15.png,15
Living_Things,processed/face/male_28_15.png,15
Nonliving_Things,processed/house/House18_15.png,15
Nonliving_Things,processed/house/House22_15.png,15
Living_Things,processed/face/female_12_15.png,15
Nonliving_Things,processed/house/House9_15.png,15
Living_Things,processed/face/female_65_15.png,15
Nonliving_Things,processed/house/3257825_House58_15.png,15
Nonliving_Things,processed/house/House2_15.png,15
Nonliving_Things,processed/house/House71_15.png,15
Nonliving_Things,processed/house/House67_15.png,15
Nonliving_Things,processed/house/House32_15.png,15
Living_Things,processed/face/female_58_15.png,15
