category,image_name,count
Living_Things,processed/face/male_18_15.png,15
Nonliving_Things,processed/house/House5_15.png,15
Nonliving_Things,processed/house/House38_15.png,15
Nonliving_Things,processed/house/House42_15.png,15
Living_Things,processed/face/male_24_15.png,15
Living_Things,processed/face/male_92_15.png,15
Living_Things,processed/face/male_21_15.png,15
Living_Things,processed/face/male_10_15.png,15
Living_Things,processed/face/female_40_15.png,15
Living_Things,processed/face/male_23_15.png,15
Nonliving_Things,processed/house/House48_15.png,15
Living_Things,processed/face/female_45_15.png,15
Nonliving_Things,processed/house/House96_15.png,15
Nonliving_Things,processed/house/House61_15.png,15
Living_Things,processed/face/male_57_15.png,15
Nonliving_Things,processed/house/House80_15.png,15
Nonliving_Things,processed/house/House99_15.png,15
Nonliving_Things,processed/house/House85_15.png,15
Living_Things,processed/face/female_28_15.png,15
Nonliving_Things,processed/house/House76_15.png,15
Living_Things,processed/face/female_39_15.png,15
Nonliving_Things,processed/house/3257831_House58_15.png,15
Nonliving_Things,processed/house/House11_15.png,15
Nonliving_Things,processed/house/House43_15.png,15
Nonliving_Things,processed/house/House41_15.png,15
Nonliving_Things,processed/house/House47_15.png,15
Nonliving_Things,processed/house/House90_15.png,15
Nonliving_Things,processed/house/House59_15.png,15
Nonliving_Things,processed/house/House57_15.png,15
Nonliving_Things,processed/house/House26_15.png,15
Living_Things,processed/face/female_55_15.png,15
Nonliving_Things,processed/house/House30_15.png,15
Nonliving_Things,processed/house/House51_15.png,15
Nonliving_Things,processed/house/House92_15.png,15
Nonliving_Things,processed/house/House77_15.png,15
Nonliving_Things,processed/house/House33_15.png,15
Living_Things,processed/face/male_32_15.png,15
Nonliving_Things,processed/house/House35_15.png,15
Nonliving_Things,processed/house/House73_15.png,15
Nonliving_Things,processed/house/3257813_House74_15.png,15
Living_Things,processed/face/male_53_15.png,15
Nonliving_Things,processed/house/House56_15.png,15
Nonliving_Things,processed/house/House95_15.png,15
Living_Things,processed/face/female_63_15.png,15
Nonliving_Things,processed/house/House100_15.png,15
Living_Things,processed/face/female_8_15.png,15
Living_Things,processed/face/female_78_15.png,15
Living_Things,processed/face/male_63_15.png,15
Living_Things,processed/face/male_4_15.png,15
Nonliving_Things,processed/house/House97_15.png,15
Nonliving_Things,processed/house/House84_15.png,15
Nonliving_Things,processed/house/House82_15.png,15
Nonliving_Things,processed/house/House24_15.png,15
Living_Things,processed/face/male_8_15.png,15
Nonliving_Things,processed/house/House98_15.png,15
Living_Things,processed/face/female_85_15.png,15
Living_Things,processed/face/female_44_15.png,15
Nonliving_Things,processed/house/House31_15.png,15
Living_Things,processed/face/male_74_15.png,15
Living_Things,processed/face/male_96_15.png,15
Living_Things,processed/face/female_52_15.png,15
Living_Things,processed/face/male_17_15.png,15
Living_Things,processed/face/male_43_15.png,15
Living_Things,processed/face/female_66_15.png,15
Nonliving_Things,processed/house/House39_15.png,15
Living_Things,processed/face/female_92_15.png,15
Living_Things,processed/face/female_14_15.png,15
Living_Things,processed/face/male_90_15.png,15
Nonliving_Things,processed/house/House29_15.png,15
Nonliving_Things,processed/house/House72_15.png,15
Living_Things,processed/face/male_83_15.png,15
Living_Things,processed/face/female_32_15.png,15
Living_Things,processed/face/male_65_15.png,15
Nonliving_Things,processed/house/House21_15.png,15
Living_Things,processed/face/female_77_15.png,15
Living_Things,processed/face/female_17_15.png,15
Nonliving_Things,processed/house/House6_15.png,15
Living_Things,processed/face/female_56_15.png,15
Nonliving_Things,processed/house/House66_15.png,15
Nonliving_Things,processed/house/House86_15.png,15
Living_Things,processed/face/female_36_15.png,15
Living_Things,processed/face/male_91_15.png,15
Nonliving_Things,processed/house/House50_15.png,15
Living_Things,processed/face/female_25_15.png,15
Nonliving_Things,processed/house/House83_15.png,15
Nonliving_Things,processed/house/House20_15.png,15
Nonliving_Things,processed/house/House14_15.png,15
Living_Things,processed/face/female_53_15.png,15
Nonliving_Things,processed/house/House37_15.png,15
Nonliving_Things,processed/house/House88_15.png,15
Living_Things,processed/face/female_27_15.png,15
Nonliving_Things,processed/house/House16_15.png,15
Living_Things,processed/face/male_29_15.png,15
Nonliving_Things,processed/house/3257879_House74_15.png,15
Nonliving_Things,processed/house/House75_15.png,15
Nonliving_Things,processed/house/House65_15.png,15
Nonliving_Things,processed/house/House15_15.png,15
Living_Things,processed/face/female_42_15.png,15
Living_Things,processed/face/female_88_15.png,15
Living_Things,processed/face/male_51_15.png,15
